Dimension,Time,Rank,Inlcuded,Actual Time
Clouds,6,,1,6
Conifer,6,,1,6
Cumulus,6,,0,6
Deciduous,6,,0,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,1,6
Mountain,6,,1,6
River,6,,1,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,1,6
Cabin,6,,0,6
Clouds,6,,0,6
Conifer,6,,1,6
Cumulus,6,,0,6
Deciduous,6,,0,6
Framed,6,,0,6
Grass,6,,0,6
Lake,6,,1,6
Mountains,6,,0,6
Mountain,6,,1,6
River,6,,0,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,1,6
Cabin,6,,1,6
Clouds,6,,1,6
Conifer,6,,1,6
Cumulus,6,,1,6
Deciduous,6,,0,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,0,6
Rocks,6,,1,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
Clouds,6,,1,6
Conifer,6,,0,6
Cumulus,6,,0,6
Deciduous,6,,0,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,0,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,0,6
Tree,6,,0,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
Clouds,6,,1,6
Conifer,6,,0,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,0,6
Lake,6,,0,6
Mountains,6,,1,6
Mountain,6,,1,6
River,6,,1,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,0,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,1,6
Cabin,6,,0,6
Clouds,6,,1,6
Conifer,6,,0,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,0,6
Lake,6,,1,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,0,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
Clouds,6,,1,6
Conifer,6,,1,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,1,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,7,,0,7
Cabin,7,,1,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,0,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,1,7
Trees,7,,0,7
Tree,7,,1,7
Winter,7,,1,7
Bushes,7,,0,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,0,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,1,7
Lake,7,,1,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,0,7
Rocks,7,,1,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,0,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,1,7
Cumulus,7,,0,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,1,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,0,7
Cabin,7,,1,7
Clouds,7,,1,7
Conifer,7,,1,7
Cumulus,7,,1,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,1,7
Mountain,7,,1,7
River,7,,1,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,0,7
Cabin,7,,0,7
Clouds,7,,0,7
Conifer,7,,0,7
Cumulus,7,,0,7
Deciduous,7,,0,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,0,7
Tree,7,,0,7
Winter,7,,0,7
Bushes,7,,1,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,1,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,1,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,1,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,0,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,1,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,1,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,1,7
Cabin,7,,0,7
Clouds,7,,0,7
Conifer,7,,0,7
Cumulus,7,,0,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,0,7
Mountain,7,,1,7
River,7,,1,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,1,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,1,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,1,7
Mountains,7,,0,7
Mountain,7,,1,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,0,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,1,7
Cumulus,7,,0,7
Deciduous,7,,0,7
Framed,7,,0,7
Grass,7,,1,7
Lake,7,,0,7
Mountains,7,,1,7
Mountain,7,,1,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,1,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,0,7
Deciduous,7,,0,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,1,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,1,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,1,7
Bushes,7,,0,7
Cabin,7,,0,7
Clouds,7,,1,7
Conifer,7,,0,7
Cumulus,7,,1,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,1,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,0,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,0,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,7,,1,7
Cabin,7,,0,7
Clouds,7,,0,7
Conifer,7,,0,7
Cumulus,7,,0,7
Deciduous,7,,1,7
Framed,7,,0,7
Grass,7,,0,7
Lake,7,,0,7
Mountains,7,,0,7
Mountain,7,,0,7
River,7,,1,7
Rocks,7,,0,7
Snow,7,,0,7
Trees,7,,1,7
Tree,7,,1,7
Winter,7,,0,7
Bushes,8,,0,8
Cabin,8,,0,8
Clouds,8,,0,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,0,8
Framed,8,,0,8
Grass,8,,1,8
Lake,8,,0,8
Mountains,8,,1,8
Mountain,8,,1,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,1,8
Cabin,8,,1,8
Clouds,8,,1,8
Conifer,8,,0,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,1,8
Grass,8,,1,8
Lake,8,,1,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,0,8
Cabin,8,,1,8
Clouds,8,,0,8
Conifer,8,,0,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,1,8
Lake,8,,0,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,1,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,1,8
Bushes,8,,1,8
Cabin,8,,0,8
Clouds,8,,0,8
Conifer,8,,0,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,1,8
Lake,8,,1,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,1,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,0,8
Cabin,8,,1,8
Clouds,8,,1,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,0,8
Lake,8,,0,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,1,8
Rocks,8,,1,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,1,8
Cabin,8,,0,8
Clouds,8,,1,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,0,8
Framed,8,,0,8
Grass,8,,1,8
Lake,8,,0,8
Mountains,8,,1,8
Mountain,8,,1,8
River,8,,1,8
Rocks,8,,0,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,0,8
Cabin,8,,1,8
Clouds,8,,0,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,0,8
Lake,8,,0,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,1,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,1,8
Bushes,8,,0,8
Cabin,8,,0,8
Clouds,8,,0,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,1,8
Lake,8,,0,8
Mountains,8,,1,8
Mountain,8,,1,8
River,8,,1,8
Rocks,8,,0,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,1,8
Cabin,8,,0,8
Clouds,8,,1,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,0,8
Framed,8,,1,8
Grass,8,,0,8
Lake,8,,0,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,0,8
Cabin,8,,0,8
Clouds,8,,1,8
Conifer,8,,0,8
Cumulus,8,,0,8
Deciduous,8,,0,8
Framed,8,,0,8
Grass,8,,0,8
Lake,8,,0,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,1,8
Snow,8,,0,8
Trees,8,,0,8
Tree,8,,0,8
Winter,8,,0,8
Bushes,8,,0,8
Cabin,8,,0,8
Clouds,8,,1,8
Conifer,8,,1,8
Cumulus,8,,1,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,0,8
Lake,8,,1,8
Mountains,8,,1,8
Mountain,8,,1,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,0,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,0,8
Bushes,8,,0,8
Cabin,8,,1,8
Clouds,8,,1,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,0,8
Framed,8,,0,8
Grass,8,,0,8
Lake,8,,0,8
Mountains,8,,0,8
Mountain,8,,0,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,1,8
Trees,8,,0,8
Tree,8,,1,8
Winter,8,,1,8
Bushes,8,,0,8
Cabin,8,,1,8
Clouds,8,,0,8
Conifer,8,,1,8
Cumulus,8,,0,8
Deciduous,8,,1,8
Framed,8,,0,8
Grass,8,,0,8
Lake,8,,1,8
Mountains,8,,0,8
Mountain,8,,1,8
River,8,,0,8
Rocks,8,,0,8
Snow,8,,1,8
Trees,8,,1,8
Tree,8,,1,8
Winter,8,,1,8
Bushes,9,,0,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,1,9
Cumulus,9,,0,9
Deciduous,9,,0,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,1,9
Mountain,9,,1,9
River,9,,0,9
Rocks,9,,0,9
Snow,9,,1,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,1,9
Bushes,9,,0,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,0,9
Cumulus,9,,1,9
Deciduous,9,,0,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,0,9
River,9,,0,9
Rocks,9,,1,9
Snow,9,,0,9
Trees,9,,0,9
Tree,9,,0,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,1,9
Cumulus,9,,0,9
Deciduous,9,,0,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,1,9
Mountains,9,,0,9
Mountain,9,,0,9
River,9,,0,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,1,9
Cumulus,9,,1,9
Deciduous,9,,1,9
Framed,9,,0,9
Grass,9,,1,9
Lake,9,,0,9
Mountains,9,,1,9
Mountain,9,,1,9
River,9,,0,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,1,9
Clouds,9,,0,9
Conifer,9,,1,9
Cumulus,9,,0,9
Deciduous,9,,0,9
Framed,9,,1,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,1,9
River,9,,1,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,0,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,0,9
Cumulus,9,,1,9
Deciduous,9,,0,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,0,9
River,9,,0,9
Rocks,9,,1,9
Snow,9,,0,9
Trees,9,,0,9
Tree,9,,0,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,0,9
Clouds,9,,0,9
Conifer,9,,1,9
Cumulus,9,,0,9
Deciduous,9,,1,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,1,9
Mountain,9,,1,9
River,9,,1,9
Rocks,9,,1,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,0,9
Cabin,9,,1,9
Clouds,9,,0,9
Conifer,9,,0,9
Cumulus,9,,0,9
Deciduous,9,,1,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,1,9
River,9,,0,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,0,9
Cumulus,9,,0,9
Deciduous,9,,0,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,1,9
River,9,,1,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,0,9
Cabin,9,,0,9
Clouds,9,,0,9
Conifer,9,,0,9
Cumulus,9,,0,9
Deciduous,9,,0,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,0,9
River,9,,0,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,0,9
Tree,9,,0,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,0,9
Cumulus,9,,1,9
Deciduous,9,,1,9
Framed,9,,0,9
Grass,9,,1,9
Lake,9,,0,9
Mountains,9,,1,9
Mountain,9,,1,9
River,9,,1,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,1,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,0,9
Cumulus,9,,1,9
Deciduous,9,,1,9
Framed,9,,0,9
Grass,9,,0,9
Lake,9,,0,9
Mountains,9,,0,9
Mountain,9,,1,9
River,9,,0,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,0,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,9,,0,9
Cabin,9,,0,9
Clouds,9,,1,9
Conifer,9,,1,9
Cumulus,9,,0,9
Deciduous,9,,1,9
Framed,9,,0,9
Grass,9,,1,9
Lake,9,,0,9
Mountains,9,,1,9
Mountain,9,,1,9
River,9,,1,9
Rocks,9,,0,9
Snow,9,,0,9
Trees,9,,1,9
Tree,9,,1,9
Winter,9,,0,9
Bushes,10,,1,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,1,10
Cumulus,10,,1,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,1,10
Mountains,10,,0,10
Mountain,10,,1,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,1,10
Clouds,10,,1,10
Conifer,10,,1,10
Cumulus,10,,0,10
Deciduous,10,,0,10
Framed,10,,0,10
Grass,10,,1,10
Lake,10,,0,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,1,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,1,10
Lake,10,,0,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,1,10
Rocks,10,,1,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,0,10
Clouds,10,,0,10
Conifer,10,,0,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,0,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,1,10
Rocks,10,,1,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,0,10
Cumulus,10,,1,10
Deciduous,10,,0,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,0,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,0,10
Rocks,10,,1,10
Snow,10,,0,10
Trees,10,,0,10
Tree,10,,0,10
Winter,10,,0,10
Bushes,10,,1,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,1,10
Cumulus,10,,1,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,1,10
Mountains,10,,1,10
Mountain,10,,1,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,1,10
Cabin,10,,0,10
Clouds,10,,0,10
Conifer,10,,0,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,0,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,1,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,1,10
Bushes,10,,0,10
Cabin,10,,0,10
Clouds,10,,0,10
Conifer,10,,0,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,1,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,1,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,1,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,1,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,1,10
Grass,10,,0,10
Lake,10,,1,10
Mountains,10,,1,10
Mountain,10,,1,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,0,10
Cumulus,10,,0,10
Deciduous,10,,0,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,0,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,0,10
Rocks,10,,1,10
Snow,10,,0,10
Trees,10,,0,10
Tree,10,,0,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,1,10
Clouds,10,,0,10
Conifer,10,,1,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,1,10
Grass,10,,1,10
Lake,10,,0,10
Mountains,10,,1,10
Mountain,10,,1,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,10,,0,10
Cabin,10,,0,10
Clouds,10,,1,10
Conifer,10,,1,10
Cumulus,10,,0,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,0,10
Lake,10,,0,10
Mountains,10,,1,10
Mountain,10,,1,10
River,10,,0,10
Rocks,10,,0,10
Snow,10,,1,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,1,10
Bushes,10,,0,10
Cabin,10,,1,10
Clouds,10,,1,10
Conifer,10,,0,10
Cumulus,10,,1,10
Deciduous,10,,1,10
Framed,10,,0,10
Grass,10,,1,10
Lake,10,,1,10
Mountains,10,,0,10
Mountain,10,,0,10
River,10,,0,10
Rocks,10,,1,10
Snow,10,,0,10
Trees,10,,1,10
Tree,10,,1,10
Winter,10,,0,10
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,0,11
Conifer,11,,1,11
Cumulus,11,,0,11
Deciduous,11,,0,11
Framed,11,,0,11
Grass,11,,1,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,1,11
River,11,,1,11
Rocks,11,,0,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,1,11
Cabin,11,,1,11
Clouds,11,,1,11
Conifer,11,,1,11
Cumulus,11,,0,11
Deciduous,11,,1,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,1,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,1,11
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,0,11
Conifer,11,,1,11
Cumulus,11,,0,11
Deciduous,11,,0,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,1,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,0,11
Cumulus,11,,0,11
Deciduous,11,,1,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,1,11
Rocks,11,,0,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,1,11
Cumulus,11,,1,11
Deciduous,11,,0,11
Framed,11,,0,11
Grass,11,,1,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,1,11
River,11,,1,11
Rocks,11,,1,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,1,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,0,11
Cumulus,11,,1,11
Deciduous,11,,1,11
Framed,11,,1,11
Grass,11,,0,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,1,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,1,11
Bushes,11,,1,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,1,11
Cumulus,11,,1,11
Deciduous,11,,1,11
Framed,11,,0,11
Grass,11,,1,11
Lake,11,,1,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,1,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,1,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,1,11
Cumulus,11,,1,11
Deciduous,11,,1,11
Framed,11,,1,11
Grass,11,,0,11
Lake,11,,1,11
Mountains,11,,0,11
Mountain,11,,1,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,0,11
Cumulus,11,,0,11
Deciduous,11,,1,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,1,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,1,11
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,0,11
Cumulus,11,,0,11
Deciduous,11,,0,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,0,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,1,11
Snow,11,,0,11
Trees,11,,0,11
Tree,11,,0,11
Winter,11,,0,11
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,1,11
Cumulus,11,,0,11
Deciduous,11,,0,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,1,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,1,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,0,11
Cabin,11,,0,11
Clouds,11,,1,11
Conifer,11,,0,11
Cumulus,11,,1,11
Deciduous,11,,1,11
Framed,11,,0,11
Grass,11,,0,11
Lake,11,,1,11
Mountains,11,,0,11
Mountain,11,,0,11
River,11,,0,11
Rocks,11,,0,11
Snow,11,,0,11
Trees,11,,1,11
Tree,11,,1,11
Winter,11,,0,11
Bushes,11,,1,11
Cabin,11,,0,11
Clouds,11,,0,11
Conifer,11,,0,11
Cumulus,11,,0,11
Deciduous,11,,1,11
